CASE;SERIAL;REF;QUESTNNR;MODE;STARTED;DE02_06;DE02_05;DE02_01;DE02_02;DE02_03;DE02_04;LC01_01;LC01_02;LC01_03;LC01_05;LC01_04;LC01_07;LC01_08;LC01_06;LC01_09;LC01_10;LC03_01;LC03_02;LC03_03;LC03_05;LC03_04;LC03_07;LC03_08;LC03_06;LC03_09;LC03_10;VT01_01;VT01_02;VT02_01;VT02_02;VT02_03;VT02_04;VT02_05;VT02_06;VT02_07;VT02_08;VT02_09;VT02_10;VT02_11;VT02_12;VT02_13;MO01_08;MO01_01;MO01_02;MO01_03;MO01_04;MO01_05;MO01_06;MO01_07;MO02_01;MO02_02;PR01_01;PR01_02;PR01_03;PR01_04;PR03_01;PR03_02;TIME001;TIME002;TIME003;TIME004;TIME005;TIME_SUM;MAILSENT;LASTDATA;FINISHED;Q_VIEWER;LASTPAGE;MAXPAGE;MISSING;MISSREL;TIME_RSI;DEG_TIME
Interview-Nummer (fortlaufend);Seriennummer (sofern verwendet);Referenz (sofern im Link angegeben);Fragebogen, der im Interview verwendet wurde;Interview-Modus;Zeitpunkt zu dem das Interview begonnen hat (Europe/Berlin);Say something about yourself: I am enrolled in the following study program;Say something about yourself: I am in the ... Semester;Say something about yourself: How many years of software development experience do you have? ... Years;Say something about yourself: How many years of web development experience do you have? ... Years;Say something about yourself: How many years of experience do you have with model-based software development? ... Years;Say something about yourself: I have worked with the following Low Code Platforms before the lab;Working with Low Code Approaches: Using the plattform shortended the development time for the web application in comparison to implementing by hand.;Working with Low Code Approaches: It was possible to realize the planned models within the given time;Working with Low Code Approaches: The platform offered the means to realize all planned functionalities (capabilities of used platforms);Working with Low Code Approaches: The provided support was good an helpful;Working with Low Code Approaches: Documentation for installation was sufficient;Working with Low Code Approaches: Documentation for model development was sufficient;Working with Low Code Approaches: Documentation for implementation (hand-written code) was sufficient;Working with Low Code Approaches: Better documentation would have speed up the development process;Working with Low Code Approaches: Developing software in this low code platform is user friendly;Working with Low Code Approaches: The low code platform provided enough debugging support;Working with Low Code Approaches: Using the plattform shortended the development time for the web application in comparison to implementing by hand.;Working with Low Code Approaches: It was possible to realize the planned models within the given time;Working with Low Code Approaches: The platform offered the means to realize all planned functionalities (capabilities of used platforms);Working with Low Code Approaches: The provided support was good an helpful;Working with Low Code Approaches: Documentation for installation was sufficient;Working with Low Code Approaches: Documentation for model development was sufficient;Working with Low Code Approaches: Documentation for implementation (hand-written code) was sufficient;Working with Low Code Approaches: Better documentation would have speed up the development process;Working with Low Code Approaches: Developing software in this low code platform is user friendly;Working with Low Code Approaches: The low code platform provided enough debugging support;Visual Modeling vs Textual Modeling: What advantages does texual modeling have over visual modeling?;Visual Modeling vs Textual Modeling: What advantages does visual modeling have over texual modeling?;Visuelle vs Textutelle Modellierung: I would rather use this modeling variant in a low code platform;Visuelle vs Textutelle Modellierung: It is easier to analyze and understand small models in this modeling variant;Visuelle vs Textutelle Modellierung: It is easier to analyze and understand complex and large models in this modeling variant;Visuelle vs Textutelle Modellierung: It is easier to create completely new models in this modeling variant;Visuelle vs Textutelle Modellierung: It is easier to create new models based on existing ones in this modeling variant;Visuelle vs Textutelle Modellierung: It is faster to develop models in this modeling variant;Visuelle vs Textutelle Modellierung: It is less error-prone to develop models in this modeling variant;Visuelle vs Textutelle Modellierung: It is easier to understand what I can model with this modeling variant (e.g what elements can be used to create a model);Visuelle vs Textutelle Modellierung: It is easier to apply learned concepts from documentation in this modeling variant;Visuelle vs Textutelle Modellierung: It is easier to navigate in complex and large models in this modeling variant;Visuelle vs Textutelle Modellierung: It is easier to comprehend changes in models in this modeling variant;Visuelle vs Textutelle Modellierung: It is easier to develop models cooperatively in distributed teams in this modeling variant;Visuelle vs Textutelle Modellierung: In general I prefer tooling based on this modeling method;Model-Types: In general, tailored tooling (e.g. editor) to develop specific models is helpful;Model-Types: It is easier and less error-prone to define the needed data-structure concepts in a model than writing it by hand.;Model-Types: It is easier and less error-prone to define pages in user interfaces in a model than writing it by hand;Model-Types: It is easier and less error-prone to define the navigation of user interfaces in a model than writing it by hand;Model-Types: The limitation to predefined visual components eases the development process;Model-Types: It is easier and less error-prone to define the needed front end validation in a model than writing it by hand;Model-Types: It is easier and less error-prone to define the needed data-structure constraints in a model than writing it by hand;Model-Types: Did the limitation of provided concepts in user interface models constrain you significantly in the UI development of the web application?;Gaps in models and generate: Is there any aspect which could have been additionally generated from existing models?;Gaps in models and generate: Is there any aspect you would have liked to be able to describe in models?;Tooling/Debugging: A Data-Structure-Model first approach is a good foundation to start developing an application;Tooling/Debugging: I would have rather developed a low code platform starting with process descriptions.;Tooling/Debugging: Understanding the functional principles of the generation or interpretation process of the low code platform helps during development.;Tooling/Debugging: The generation or interpretation process should work fast to be able to validate information from models in the code;Additional Remarks: Any comments regarding the lab;Additional Remarks: Any comments regarding the Low Code platforms;Verweildauer Seite 1;Verweildauer Seite 2;Verweildauer Seite 3;Verweildauer Seite 4;Verweildauer Seite 5;Verweildauer gesamt (ohne Ausreißer);Versandzeitpunkt der Einladungsmail (nur für nicht-anonyme Adressaten);Zeitpunkt als der Datensatz das letzte mal geändert wurde;Wurde die Befragung abgeschlossen (letzte Seite erreicht)?;Hat der Teilnehmer den Fragebogen nur angesehen, ohne die Pflichtfragen zu beantworten?;Seite, die der Teilnehmer zuletzt bearbeitet hat;Letzte Seite, die im Fragebogen bearbeitet wurde;Anteil fehlender Antworten in Prozent;Anteil fehlender Antworten (gewichtet nach Relevanz);Maluspunkte für schnelles Ausfüllen;Maluspunkte für schnelles Ausfüllen
47;;;base;interview;2021-08-23 10:06:38;computer science;4;6;5;0;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;6;38;302729;;;224;;2021-08-23 10:07:22;0;0;2;3;17;10;0,92;13
49;;;base;interview;2021-08-23 10:53:27;Software Systems Engineering;6;4;1;2;crosslinxx, Rapidclipse;4;1;3;3;3;4;2;4;3;;4;3;2;5;3;4;2;5;2;4;Better for structuring, detailes are better readable;Better overview;2;4;3;2;4;2;4;4;5;4;4;3;4;5;3;4;3;4;4;3;5;;More detailes for the description on pages. Textually describing the overall UI structure is too far from the wanted result.;5;4;4;3;Maybe let the students focus on one platform and then create their presentations for a comparison by putting two teams together. It allows for a deeper understanding of the platform especially if there is a steep learning curve such as in A12. I feel like we couldn't even closely test out the real potential of A12, just because there wasn't enough time to understand and try out all the documentation material.; Montigem was very easy to get into especially with the slack support. An easier installation would help.
A12 has a big hurdle to get into. You're bombarded with documentation to a degree where you first have to understand the structure of the docu itself before you can start n the platform. 
Both platforms have their difficulties with encapsulated entities and multiplicities. I did expect this to be handled better, since that is what models are about. (Showing entities within entities within entities with multiplicity >1).";49;165;157;532;486;1232;;2021-08-23 11:16:37;1;0;5;5;2;1;0,59;2
50;;;base;interview;2021-08-23 14:38:03;Computer Science M.Sc.;3;5;1;2;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;5;50;;;;55;;2021-08-23 14:38:58;0;0;2;2;17;10;1,38;20
52;;;base;interview;2021-08-23 14:40:39;Iformatic M.Sc.;4;5;2;0;no;1;1;1;1;1;3;2;5;3;3;1;1;1;1;1;3;2;5;3;3;mire intuitive when u worked with similar languages befor. You dont need to get into the modeling tool;easier for people that dont come from programming background;4;4;3;;4;4;1;1;4;4;5;5;3;3;2;3;;3;3;3;3;;;2;1;3;3;;;13;87;155;213;77;506;;2021-08-23 14:49:44;1;0;5;5;11;6;1,37;26
53;;;base;interview;2021-08-23 15:51:42;M.Sc. Informatik;2;5;5;0;none;3;5;2;3;5;4;1;5;3;2;2;5;4;4;4;5;4;4;3;2;"It is relatively easy to see what you can model. e.g. in the A12 modelling, there were additional options that were not obvious to find, as they were hidden in submenus

PS: question 2 is about A12 and 3 about Montigem";With more complex models, a visual modeling is better to read. The produced JSON files by A12 would have been a pain to implement by hand;3;5;1;4;5;3;2;3;4;1;;;4;4;2;2;4;3;;4;5;;;4;3;5;4;"A central place for information, like a moodle room, would have been nice instead of multiple emails.
Also a single zoom link would have been nice, as I wasn't always sure if I had the right one";For A12 a tutorial would have been nice how to use the tools and maybe how to add custom pages that manipulates data;15;42;237;550;232;1076;;2021-08-23 16:09:38;1;0;5;5;4;1;0,82;1
55;;;base;interview;2021-08-24 16:17:51;Bachelor Informatik;7;1;0,5;0;;4;3;4;3;4;4;4;3;2;1;4;4;3;4;3;3;2;5;3;3;"- No (possibly) confusing GUI
- Models can be modeled with more details";"- It's easier to model your data
- You don't need in-depth knowledge about how the DSL works
        -> ""Anyone"" could be capable of modeling
- Working with the textual approach, it is more likely to make mistakes";2;3;1;2;3;4;1;5;5;1;2;4;;4;4;4;4;3;4;4;2;;;4;;4;5;;;21;34;279;674;42;1050;;2021-08-24 16:35:21;1;0;5;5;11;6;1,26;28
56;;;base;interview;2021-08-26 14:05:18;Master Computer Science;1;1;0;0;;;4;2;2;5;4;2;4;3;3;;4;4;4;3;3;2;5;3;2;Easy to start and prototype;"Easy to debug
More comprehensive top level overview";2;2;3;;4;2;;4;2;2;;4;2;4;4;3;4;3;2;2;4;For Domain models in MontiGem maybe a standard implementation for the dto loaders could be generated.;;2;3;4;3;;;12;51;252;624;61;1000;;2021-08-26 14:21:58;1;0;5;5;7;3;1,13;14
